rank,entrez_id,gene_id,degree,logFC,FDR,direction
1,14433,NM_008084_6_-_1,682,-1.11965813505102,4.6846706783277905e-17,DOWN
2,16193,NM_031168_5_+_1,415,-2.18491887161919,0.0071204059085974,DOWN
3,15511,NM_010478_17_-_1,380,-1.61403869726987,0.0094305952175075,DOWN
4,15481,NM_031165_9_+_1,322,-0.788127660024996,7.93708951696366e-06,DOWN
5,100038882,NM_015783_4_-_1,307,-1.12932063608532,0.0007481539623975,DOWN
6,22187,NM_011664_11_+_1,275,-1.83031024899436,2.8754126542587104e-15,DOWN
7,433759,NM_008228_4_-_1,275,-0.600133482988545,8.41396313625858e-12,DOWN
8,22321,NM_011690_17_+_1,272,-0.882565770607617,0.0104204157101536,DOWN
9,13806,NM_023119_4_+_1,259,-0.71036830973933,0.0052961064805283,DOWN
10,14109,NM_001160239_19_+_1,255,-0.61084685932377,0.0497583911654981,DOWN
